id,date,timeofday,LON,LAT,"activity 1=not morving, 2=walking, 3=running, 4=biking, 6=skateboarding","direction 1=n, 2=s, 3=e, 4=w, 5=sw, 6=se, 7=nw, 8=ne","withmask 0=no, 1=yes","nomaskimpr 0=no mask or mask but incorrect, 1=mask and correct","maskreason 1=nose exposed, 2=nose and mouth exposed","maskother 1=exhalation valve or vent, 2=on forehead, 3=around neck, 4=touched mask, 5=<2 years of age, 6=in hand, 7=hanging on ear","socialdist 0=no, 1=yes","agegroup 1=<18, 2=18-30, 3=31-55, 4=>55","white 0=not white, 1=white","sex 1=male, 2=female","smoking 0= not smoking, 1=smoking","obese 0=not overweight/obese, 1=overweight/obese","touchsurface 0=no, 1=yes","surfacetype 1=trash can, 2=parking meter, 3=door handle, 4=railing, 5=auto, 6=building, 7=other, 8=bench, 9=phone, 11=tools, 12=table","Etiquette1 0=no hands to head, 1= hands to head"
1,9/03/2020,123350,39.682205,-75.7474,2,1,1,0,2,3,1,4,1,2,0,1,0,0,0
2,9/03/2020,123404,39.682101,-75.7472,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0
3,9/03/2020,123404,39.682094,-75.7472,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0
4,9/03/2020,123409,39.682162,-75.7466,2,3,1,1,0,0,1,3,0,2,0,0,0,0,0
5,9/03/2020,123417,39.682227,-75.7459,2,1,9,9,9,9,1,2,1,1,0,0,0,0,0
6,9/03/2020,123445,39.682093,-75.7451,2,4,1,1,0,0,0,2,0,2,0,1,0,0,0
7,9/03/2020,123445,39.682082,-75.7451,2,4,1,1,0,0,0,2,0,2,0,0,0,0,0
8,9/03/2020,123459,39.682464,-75.7455,1,0,9,9,9,9,1,4,0,2,0,1,0,0,0
9,9/03/2020,123520,39.682992,-75.7455,1,0,0,0,0,0,1,2,1,2,0,0,0,0,0
10,9/03/2020,123516,39.68317,-75.7455,2,1,0,0,0,0,1,3,1,1,0,0,0,0,0
11,9/03/2020,123548,39.6837,-75.7457,2,3,9,9,9,9,1,2,1,2,0,0,0,0,0
12,9/03/2020,122755,39.678996,-75.7487,1,0,1,1,0,0,1,2,1,2,0,1,1,9,0
13,9/03/2020,122811,39.67925,-75.7486,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0
14,9/03/2020,122811,39.679279,-75.7486,2,8,1,1,0,0,1,2,0,1,0,0,0,0,0
15,9/03/2020,122840,39.679452,-75.7484,2,8,1,1,0,0,1,2,1,2,0,0,1,3,0
16,9/03/2020,121951,39.681173,-75.7495,2,2,1,1,0,0,1,2,1,1,0,0,0,0,0
17,9/03/2020,121955,39.681173,-75.7495,2,2,1,1,0,0,1,3,1,2,0,1,0,0,0
18,9/03/2020,122150,39.67965,-75.7496,2,2,1,1,0,0,1,2,1,1,0,0,0,0,0
19,9/03/2020,122223,39.679435,-75.7492,1,0,1,1,0,0,0,2,1,2,0,1,0,0,1
20,9/03/2020,122223,39.679439,-75.7492,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
21,9/03/2020,122223,39.679433,-75.7492,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
22,9/03/2020,122226,39.679607,-75.7495,2,3,0,0,0,0,0,2,1,2,0,1,0,0,0
23,9/03/2020,122226,39.679603,-75.7495,2,3,0,0,0,0,0,2,1,1,0,0,0,0,0
24,9/03/2020,122232,39.678874,-75.7499,2,1,0,0,0,0,1,2,1,2,0,0,0,0,0
25,9/03/2020,122244,39.678269,-75.7499,2,1,0,0,0,0,1,2,1,2,0,0,0,0,0
26,9/03/2020,122345,39.678678,-75.7489,3,3,0,0,0,0,0,2,1,1,0,0,0,0,0
